timestamp_seconds,frame_idx,face_id,x,y,w,h
75.700000,2271,1,312,103,108,108
75.733333,2272,1,311,101,110,110
75.766667,2273,1,311,99,111,111
75.800000,2274,1,311,98,111,111
75.833333,2275,1,310,96,112,112
75.866667,2276,1,310,97,112,112
75.900000,2277,1,310,96,112,112
75.933333,2278,1,311,97,111,111
75.966667,2279,1,311,98,111,111
76.000000,2280,1,312,98,111,111
76.033333,2281,1,312,99,110,110
76.066667,2282,1,312,98,109,109
76.100000,2283,1,313,98,109,109
76.133333,2284,1,314,99,107,107
76.166667,2285,1,315,99,105,105
76.200000,2286,1,314,99,106,106
76.233333,2287,1,314,98,106,106
76.266667,2288,1,313,98,107,107
76.300000,2289,1,313,98,107,107
76.333333,2290,1,314,98,105,105
76.366667,2291,1,314,98,105,105
76.400000,2292,1,314,98,106,106
76.433333,2293,1,314,98,106,106
76.466667,2294,1,317,98,104,104
76.500000,2295,1,318,100,103,103
76.533333,2296,1,317,100,103,103
76.566667,2297,1,317,100,103,103
76.600000,2298,1,318,101,103,103
76.633333,2299,1,317,101,103,103
76.666667,2300,1,317,102,102,102
76.700000,2301,1,318,102,102,102
76.733333,2302,1,319,103,100,100
76.766667,2303,1,319,101,101,101
76.800000,2304,1,316,100,105,105
76.833333,2305,1,316,100,105,105
76.866667,2306,1,313,99,107,107
76.900000,2307,1,312,99,106,106
76.933333,2308,1,313,99,107,107
76.966667,2309,1,313,100,106,106
77.000000,2310,1,314,100,105,105
77.033333,2311,1,314,100,105,105
77.066667,2312,1,313,100,106,106
77.100000,2313,1,313,99,106,106
77.133333,2314,1,311,100,106,106
77.166667,2315,1,310,99,107,107
77.200000,2316,1,312,101,106,106
77.233333,2317,1,313,101,105,105
77.266667,2318,1,314,101,104,104
77.300000,2319,1,315,101,105,105
77.333333,2320,1,315,102,105,105
77.366667,2321,1,315,101,105,105
77.400000,2322,1,315,101,105,105
77.433333,2323,1,315,101,105,105
77.466667,2324,1,315,101,105,105
77.500000,2325,1,314,101,106,106
77.533333,2326,1,313,100,108,108
77.566667,2327,1,312,99,109,109
77.600000,2328,1,311,99,110,110
77.633333,2329,1,311,99,110,110
77.666667,2330,1,311,99,110,110
77.700000,2331,1,312,100,108,108
77.733333,2332,1,313,101,107,107
77.766667,2333,1,312,99,106,106
77.800000,2334,1,311,99,105,105
77.833333,2335,1,310,100,104,104
77.866667,2336,1,310,99,104,104
77.900000,2337,1,308,95,108,108
77.933333,2338,1,308,95,108,108
77.966667,2339,1,306,93,112,112
78.000000,2340,1,306,92,111,111
78.033333,2341,1,307,92,111,111
78.066667,2342,1,306,92,110,110
78.100000,2343,1,306,92,110,110
78.133333,2344,1,302,90,112,112
78.166667,2345,1,304,90,109,109
78.200000,2346,1,306,92,106,106
78.233333,2347,1,308,92,104,104
78.266667,2348,1,308,92,104,104
78.300000,2349,1,305,92,107,107
78.333333,2350,1,305,93,107,107
78.366667,2351,1,304,93,108,108
78.400000,2352,1,303,94,107,107
78.433333,2353,1,302,94,108,108
78.466667,2354,1,302,94,106,106
78.500000,2355,1,300,92,108,108
78.533333,2356,1,301,93,106,106
78.566667,2357,1,302,93,104,104
78.600000,2358,1,302,93,103,103
78.633333,2359,1,300,92,105,105
78.666667,2360,1,300,93,104,104
78.700000,2361,1,301,93,103,103
78.733333,2362,1,302,93,101,101
78.766667,2363,1,300,93,103,103
78.800000,2364,1,301,93,104,104
78.833333,2365,1,300,92,107,107
78.866667,2366,1,299,91,112,112
78.900000,2367,1,300,92,110,110
78.933333,2368,1,301,93,108,108
78.966667,2369,1,301,94,109,109
79.000000,2370,1,303,95,108,108
79.033333,2371,1,303,98,107,107
79.066667,2372,1,304,101,106,106
79.100000,2373,1,303,100,110,110
79.133333,2374,1,303,100,110,110
79.166667,2375,1,304,101,110,110
79.200000,2376,1,303,101,110,110
79.233333,2377,1,304,100,110,110
