timestamp_seconds,frame_idx,face_id,x,y,w,h,emotion,emotion_score
67.933333,238,1,329,102,103,103,neutral,0.9483
67.966667,239,1,329,103,102,102,neutral,0.9346
68.000000,240,1,328,105,100,100,neutral,0.9611
68.033333,241,1,328,105,100,100,neutral,0.9609
68.066667,242,1,328,104,101,101,neutral,0.9649
68.100000,243,1,328,104,101,101,neutral,0.9684
68.133333,244,1,327,105,100,100,neutral,0.9654
68.166667,245,1,327,106,99,99,neutral,0.9663
68.200000,246,1,327,107,100,100,neutral,0.9462
68.233333,247,1,325,107,103,103,neutral,0.9446
68.266667,248,1,323,106,103,103,neutral,0.9191
68.300000,249,1,322,106,104,104,neutral,0.9343
68.333333,250,1,322,107,102,102,neutral,0.9232
68.366667,251,1,323,108,100,100,neutral,0.9069
68.400000,252,1,324,110,98,98,neutral,0.8885
68.433333,253,1,324,110,98,98,neutral,0.8866
68.466667,254,1,324,110,98,98,neutral,0.8499
68.500000,255,1,323,109,99,99,neutral,0.9055
68.533333,256,1,321,108,101,101,neutral,0.9097
68.566667,257,1,319,109,103,103,neutral,0.9048
68.600000,258,1,315,108,105,105,neutral,0.9112
68.633333,259,1,316,105,107,107,neutral,0.9382
68.666667,260,1,313,105,107,107,neutral,0.9569
68.700000,261,1,312,105,107,107,neutral,0.9713
68.733333,262,1,312,102,112,112,neutral,0.9707
68.766667,263,1,311,101,114,114,neutral,0.9679
68.800000,264,1,309,101,114,114,neutral,0.9659
68.833333,265,1,308,101,115,115,neutral,0.9614
68.866667,266,1,306,102,116,116,neutral,0.9493
68.900000,267,1,306,102,115,115,neutral,0.9629
68.933333,268,1,307,102,114,114,neutral,0.9704
68.966667,269,1,307,103,113,113,neutral,0.9578
69.000000,270,1,307,104,112,112,neutral,0.9730
69.033333,271,1,306,104,113,113,neutral,0.9744
69.066667,272,1,306,103,114,114,neutral,0.9757
69.100000,273,1,306,104,113,113,neutral,0.9768
69.133333,274,1,307,104,112,112,neutral,0.9790
69.166667,275,1,306,103,112,112,neutral,0.9794
69.200000,276,1,306,100,115,115,neutral,0.9752
69.233333,277,1,306,100,115,115,neutral,0.9749
69.266667,278,1,307,100,115,115,neutral,0.9715
69.300000,279,1,307,99,115,115,neutral,0.9784
69.333333,280,1,308,98,114,114,neutral,0.9863
69.366667,281,1,309,99,113,113,neutral,0.9877
69.400000,282,1,309,98,113,113,neutral,0.9897
69.433333,283,1,312,98,111,111,neutral,0.9899
69.466667,284,1,313,99,110,110,neutral,0.9926
69.500000,285,1,314,100,110,110,neutral,0.9875
69.533333,286,1,314,100,110,110,neutral,0.9875
69.566667,287,1,314,101,108,108,neutral,0.9849
69.600000,288,1,314,101,108,108,neutral,0.9861
69.633333,289,1,315,101,108,108,neutral,0.9879
69.666667,290,1,315,102,108,108,neutral,0.9887
69.700000,291,1,314,102,109,109,neutral,0.9882
69.733333,292,1,314,102,107,107,neutral,0.9931
69.766667,293,1,315,102,106,106,neutral,0.9920
69.800000,294,1,315,102,106,106,neutral,0.9926
69.833333,295,1,315,103,105,105,neutral,0.9925
69.866667,296,1,314,102,106,106,neutral,0.9917
69.900000,297,1,310,99,110,110,neutral,0.9881
69.933333,298,1,309,98,111,111,neutral,0.9862
69.966667,299,1,309,97,111,111,neutral,0.9852
70.000000,300,1,308,97,112,112,neutral,0.9809
70.033333,301,1,307,97,114,114,neutral,0.9758
70.066667,302,1,307,96,115,115,neutral,0.9786
70.100000,303,1,306,96,115,115,neutral,0.9743
70.133333,304,1,305,95,115,115,neutral,0.9677
70.166667,305,1,305,96,115,115,neutral,0.9629
70.200000,306,1,305,97,113,113,neutral,0.9686
70.233333,307,1,306,97,113,113,neutral,0.9707
70.266667,308,1,307,97,113,113,neutral,0.9655
70.300000,309,1,307,96,112,112,neutral,0.9691
70.333333,310,1,307,97,112,112,neutral,0.9609
70.366667,311,1,308,97,111,111,neutral,0.9655
70.400000,312,1,308,97,111,111,neutral,0.9636
70.433333,313,1,311,98,109,109,neutral,0.9859
70.466667,314,1,311,98,109,109,neutral,0.9862
70.500000,315,1,310,98,110,110,neutral,0.9846
70.533333,316,1,313,99,108,108,neutral,0.9855
70.566667,317,1,312,100,109,109,neutral,0.9807
70.600000,318,1,311,101,111,111,neutral,0.9755
70.633333,319,1,311,102,111,111,neutral,0.9768
70.666667,320,1,313,103,109,109,neutral,0.9778
70.700000,321,1,313,102,108,108,neutral,0.9811
70.733333,322,1,312,103,108,108,neutral,0.9832
70.766667,323,1,309,102,110,110,neutral,0.9822
70.800000,324,1,307,101,112,112,neutral,0.9671
70.833333,325,1,308,101,112,112,neutral,0.9651
70.866667,326,1,307,100,113,113,neutral,0.9556
70.900000,327,1,306,99,112,112,neutral,0.9720
70.933333,328,1,305,99,112,112,neutral,0.9638
70.966667,329,1,307,99,111,111,neutral,0.9741
71.000000,330,1,307,98,111,111,neutral,0.9788
71.033333,331,1,306,98,111,111,neutral,0.9770
71.066667,332,1,305,97,111,111,neutral,0.9538
71.100000,333,1,306,97,111,111,neutral,0.9455
71.133333,334,1,307,96,112,112,neutral,0.9465
71.166667,335,1,306,95,113,113,neutral,0.9641
71.200000,336,1,305,96,113,113,neutral,0.9742
