timestamp_seconds,frame_idx,face_id,x,y,w,h,yaw,pitch,eye_away,looking_at_camera
68.500000,255,1,323,109,99,99,5.8,9.0,0.429,0
68.533333,256,1,321,108,101,101,5.3,9.8,0.416,0
68.566667,257,1,319,109,103,103,4.9,10.6,0.359,0
68.600000,258,1,315,108,105,105,3.8,9.9,0.407,0
68.633333,259,1,316,105,107,107,3.3,9.8,0.272,1
68.666667,260,1,313,105,107,107,1.5,9.3,0.339,0
68.700000,261,1,312,105,107,107,1.3,9.4,0.366,0
68.733333,262,1,312,102,112,112,0.9,9.6,0.465,0
68.766667,263,1,311,101,114,114,-0.2,9.9,0.501,0
68.800000,264,1,309,101,114,114,-0.9,9.3,0.462,0
68.833333,265,1,308,101,115,115,-1.4,8.5,0.360,0
68.866667,266,1,306,102,116,116,-1.9,8.4,0.378,0
68.900000,267,1,306,102,115,115,-1.9,8.6,0.405,0
68.933333,268,1,307,102,114,114,-2.0,7.9,0.370,0
68.966667,269,1,307,103,113,113,-2.0,8.2,0.379,0
69.000000,270,1,307,104,112,112,-2.5,8.5,0.385,0
69.033333,271,1,306,104,113,113,-2.8,8.5,0.309,0
69.066667,272,1,306,103,114,114,-2.6,8.7,0.330,0
69.100000,273,1,306,104,113,113,-2.9,8.5,0.320,0
69.133333,274,1,307,104,112,112,-2.9,8.2,0.350,0
69.166667,275,1,306,103,112,112,-2.9,8.2,0.324,0
69.200000,276,1,306,100,115,115,-2.8,7.8,0.306,0
69.233333,277,1,306,100,115,115,-2.7,7.9,0.303,0
69.266667,278,1,307,100,115,115,-2.7,7.7,0.314,0
69.300000,279,1,307,99,115,115,-3.0,7.3,0.346,0
69.333333,280,1,308,98,114,114,-2.8,7.5,0.404,0
69.366667,281,1,309,99,113,113,-2.3,7.4,0.355,0
69.400000,282,1,309,98,113,113,-2.0,7.2,0.374,0
69.433333,283,1,312,98,111,111,-1.9,6.8,0.391,0
69.466667,284,1,313,99,110,110,-1.7,7.3,0.327,0
69.500000,285,1,314,100,110,110,-2.1,6.1,0.364,0
69.533333,286,1,314,100,110,110,-2.1,6.1,0.367,0
69.566667,287,1,314,101,108,108,-1.8,5.9,0.346,0
69.600000,288,1,314,101,108,108,-1.8,5.8,0.330,0
69.633333,289,1,315,101,108,108,-1.9,5.4,0.253,1
69.666667,290,1,315,102,108,108,-2.1,5.8,0.290,1
69.700000,291,1,314,102,109,109,-2.4,6.0,0.289,1
69.733333,292,1,314,102,107,107,-2.4,5.8,0.297,1
69.766667,293,1,315,102,106,106,-2.8,6.0,0.317,0
69.800000,294,1,315,102,106,106,-2.8,5.9,0.309,0
69.833333,295,1,315,103,105,105,-3.1,6.2,0.324,0
69.866667,296,1,314,102,106,106,-3.7,6.2,0.293,1
69.900000,297,1,310,99,110,110,-4.0,5.6,0.277,1
69.933333,298,1,309,98,111,111,-5.0,5.2,0.341,0
69.966667,299,1,309,97,111,111,-5.9,4.9,0.300,0
70.000000,300,1,308,97,112,112,-6.2,4.6,0.342,0
70.033333,301,1,307,97,114,114,-6.7,5.4,0.357,0
70.066667,302,1,307,96,115,115,-6.8,5.2,0.380,0
70.100000,303,1,306,96,115,115,-7.0,5.3,0.357,0
70.133333,304,1,305,95,115,115,-7.1,4.7,0.432,0
70.166667,305,1,305,96,115,115,-7.3,5.6,0.367,0
70.200000,306,1,305,97,113,113,-7.2,5.4,0.408,0
70.233333,307,1,306,97,113,113,-6.7,5.8,0.425,0
70.266667,308,1,307,97,113,113,-6.6,6.1,0.415,0
70.300000,309,1,307,96,112,112,-6.1,5.8,0.396,0
70.333333,310,1,307,97,112,112,-5.9,6.1,0.382,0
70.366667,311,1,308,97,111,111,-5.3,6.2,0.381,0
70.400000,312,1,308,97,111,111,-4.4,6.5,0.401,0
70.433333,313,1,311,98,109,109,-2.7,6.4,0.317,0
70.466667,314,1,311,98,109,109,-2.7,6.4,0.311,0
70.500000,315,1,310,98,110,110,-2.0,8.5,0.315,0
70.533333,316,1,313,99,108,108,-0.2,8.2,0.345,0
70.566667,317,1,312,100,109,109,0.9,8.6,0.280,1
70.600000,318,1,311,101,111,111,1.6,8.7,0.269,1
70.633333,319,1,311,102,111,111,1.7,9.2,0.268,1
70.666667,320,1,313,103,109,109,2.2,9.0,0.256,1
70.700000,321,1,313,102,108,108,1.6,8.4,0.292,1
70.733333,322,1,312,103,108,108,1.3,8.8,0.306,0
70.766667,323,1,309,102,110,110,0.8,9.2,0.312,0
70.800000,324,1,307,101,112,112,-0.9,8.6,0.386,0
70.833333,325,1,308,101,112,112,-0.6,8.6,0.407,0
70.866667,326,1,307,100,113,113,-1.1,8.4,0.408,0
70.900000,327,1,306,99,112,112,-1.6,7.8,0.430,0
70.933333,328,1,305,99,112,112,-2.3,7.3,0.410,0
70.966667,329,1,307,99,111,111,-2.4,6.8,0.472,0
71.000000,330,1,307,98,111,111,-2.4,6.3,0.410,0
71.033333,331,1,306,98,111,111,-2.8,5.8,0.442,0
71.066667,332,1,305,97,111,111,-3.2,5.4,0.375,0
71.100000,333,1,306,97,111,111,-3.3,4.9,0.497,0
71.133333,334,1,307,96,112,112,-3.5,4.3,0.555,0
71.166667,335,1,306,95,113,113,-3.5,3.1,0.485,0
71.200000,336,1,305,96,113,113,-3.3,3.5,0.412,0
71.233333,337,1,305,96,113,113,-3.2,3.6,0.413,0
71.266667,338,1,305,96,112,112,-3.2,4.0,0.435,0
71.300000,339,1,304,96,113,113,-3.1,4.6,0.384,0
71.333333,340,1,306,98,111,111,-3.1,4.8,0.348,0
